CVE_ID,PublishTime,ModifyTime,Report,CVSSV3,AttackVector,AttackComplexity,PrivilegesRequired,UserInteraction,Scope,ConfidentialityImpact,IntegrityImpact,AvailabilityImpact
CVE-2009-3489,2009-09-30T15:30Z,2024-11-21T01:07Z,"Adobe Photoshop Elements 8.0 installs the Adobe Active File Monitor V8 service with an insecure security descriptor, which allows local users to (1) stop the service via the stop command, (2) execute arbitrary commands as SYSTEM by using the config command to modify the binPath variable, or (3) restart the service via the start command.",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3520,2009-10-01T15:30Z,2024-11-21T01:07Z,"Cross-site request forgery (CSRF) vulnerability in the Your_account module in CMSphp 0.21 allows remote attackers to hijack the authentication of administrators for requests that change an administrator password via the pseudo, pwd, and uid parameters in an admin_info_user_verif action.",8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3547,2009-11-04T15:30Z,2024-11-21T01:07Z,Multiple race conditions in fs/pipe.c in the Linux kernel before 2.6.32-rc6 allow local users to cause a denial of service (NULL pointer dereference and system crash) or gain privileges by attempting to open an anonymous pipe via a /proc/*/fd/ pathname.,7.0,LOCAL,HIGH,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3552,2019-11-09T03:15Z,2024-11-21T01:07Z,"In RHEV-M VDC 2.2.0, it was found that the SSL certificate was not verified when using the client-side Red Hat Enterprise Virtualization Manager interface (a Windows Presentation Foundation (WPF) XAML browser application) to connect to the Red Hat Enterprise Virtualization Manager. An attacker on the local network could use this flaw to conduct a man-in-the-middle attack, tricking the user into thinking they are viewing the Red Hat Enterprise Virtualization Manager when the content is actually attacker-controlled, or modifying actions a user requested Red Hat Enterprise Virtualization Manager to perform.",3.1,ADJACENT_NETWORK,HIGH,NONE,NONE,UNCHANGED,NONE,LOW,NONE
CVE-2009-3553,2009-11-20T02:30Z,2024-11-21T01:07Z,"Use-after-free vulnerability in the abstract file-descriptor handling interface in the cupsdDoSelect function in scheduler/select.c in the scheduler in cupsd in CUPS 1.3.7 and 1.3.10 allows remote attackers to cause a denial of service (daemon crash or hang) via a client disconnection during listing of a large number of print jobs, related to improperly maintaining a reference count.  NOTE: some of these details are obtained from third party information.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-3611,2009-10-26T16:30Z,2024-11-21T01:07Z,"common/snapshots.py in Back In Time (aka backintime) 0.9.26 changes certain permissions to 0777 before deleting the files in an old backup snapshot, which allows local users to obtain sensitive information by reading these files, or interfere with backup integrity by modifying files that are shared across snapshots.",7.1,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2009-3614,2019-11-09T03:15Z,2024-11-21T01:07Z,liboping 1.3.2 allows users reading arbitrary files upon the local system.,3.3,LOCAL,LOW,LOW,NONE,UNCHANGED,LOW,NONE,NONE
CVE-2009-3616,2009-10-23T18:30Z,2024-11-21T01:07Z,"Multiple use-after-free vulnerabilities in vnc.c in the VNC server in QEMU 0.10.6 and earlier might allow guest OS users to execute arbitrary code on the host OS by establishing a connection from a VNC client and then (1) disconnecting during data transfer, (2) sending a message using incorrect integer data types, or (3) using the Fuzzy Screen Mode protocol, related to double free vulnerabilities.",9.9,NETWORK,LOW,LOW,NONE,CHANGED,HIGH,HIGH,HIGH
CVE-2009-3620,2009-10-22T16:00Z,2024-11-21T01:07Z,"The ATI Rage 128 (aka r128) driver in the Linux kernel before 2.6.31-git11 does not properly verify Concurrent Command Engine (CCE) state initialization, which allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly gain privileges via unspecified ioctl calls.",7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3621,2009-10-22T16:00Z,2024-11-21T01:07Z,"net/unix/af_unix.c in the Linux kernel 2.6.31.4 and earlier allows local users to cause a denial of service (system hang) by creating an abstract-namespace AF_UNIX listening socket, performing a shutdown operation on this socket, and then performing a series of connect operations to this socket.",5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-3658,2009-10-09T14:30Z,2024-11-21T01:07Z,Use-after-free vulnerability in the Sb.SuperBuddy.1 ActiveX control (sb.dll) in America Online (AOL) 9.5.0.1 allows remote attackers to trigger memory corruption or possibly execute arbitrary code via a malformed argument to the SetSuperBuddy method.,8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3721,2021-05-26T22:15Z,2024-11-21T01:08Z,"Multiple directory traversal and buffer overflow vulnerabilities were discovered in yTNEF, and in Evolution's TNEF parser that is derived from yTNEF. A crafted email could cause these applications to write data in arbitrary locations on the filesystem, crash, or potentially execute arbitrary code when decoding attachments.",7.8,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3723,2019-10-29T19:15Z,2024-11-21T01:08Z,asterisk allows calls on prohibited networks,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-3724,2020-01-15T21:15Z,2024-11-21T01:08Z,python-markdown2 before 1.0.1.14 has multiple cross-site scripting (XSS) issues.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-3759,2009-10-22T17:30Z,2024-11-21T01:08Z,Multiple cross-site request forgery (CSRF) vulnerabilities in sample code in the XenServer Resource Kit in Citrix XenCenterWeb allow remote attackers to hijack the authentication of administrators for (1) requests that change the password via the username parameter to config/changepw.php or (2) stop a virtual machine via the stop_vmname parameter to hardstopvm.php.  NOTE: some of these details are obtained from third party information.,8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3887,2019-10-29T19:15Z,2024-11-21T01:08Z,ytnef has directory traversal,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3897,2009-11-24T17:30Z,2024-11-21T01:08Z,"Dovecot 1.2.x before 1.2.8 sets 0777 permissions during creation of certain directories at installation time, which allows local users to access arbitrary user accounts by replacing the auth socket, related to the parent directories of the base_dir directory, and possibly the base_dir directory itself.",5.5,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-3939,2009-11-16T19:30Z,2024-11-21T01:08Z,"The poll_mode_io file for the megaraid_sas driver in the Linux kernel 2.6.31.6 and earlier has world-writable permissions, which allows local users to change the I/O mode of the driver by modifying this file.",7.1,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH
CVE-2009-3953,2010-01-13T19:30Z,2024-12-19T18:08Z,"The U3D implementation in Adobe Reader and Acrobat 9.x before 9.3, 8.x before 8.2 on Windows and Mac OS X, and 7.x before 7.1.4 allows remote attackers to execute arbitrary code via malformed U3D data in a PDF document, related to a CLODProgressiveMeshDeclaration ""array boundary issue,"" a different vulnerability than CVE-2009-2994.",8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-3960,2010-02-15T18:30Z,2024-12-19T18:09Z,"Unspecified vulnerability in BlazeDS 3.2 and earlier, as used in LiveCycle 8.0.1, 8.2.1, and 9.0, LiveCycle Data Services 2.5.1, 2.6.1, and 3.0, Flex Data Services 2.0.1, and ColdFusion 7.0.2, 8.0, 8.0.1, and 9.0, allows remote attackers to obtain sensitive information via vectors that are associated with a request, and related to injected tags and external entity references in XML documents.",6.5,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE
CVE-2009-4004,2009-11-20T02:30Z,2024-11-21T01:08Z,Buffer overflow in the kvm_vcpu_ioctl_x86_setup_mce function in arch/x86/kvm/x86.c in the KVM subsystem in the Linux kernel before 2.6.32-rc7 allows local users to cause a denial of service (memory corruption) or possibly gain privileges via a KVM_X86_SETUP_MCE IOCTL request that specifies a large number of Machine Check Exception (MCE) banks.,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4011,2019-11-09T03:15Z,2024-11-21T01:08Z,"dtc-xen 0.5.x before 0.5.4 suffers from a race condition where an attacker could potentially get a bash access as xenXX user on the dom0, and then access a potentially reuse an already opened VPS console.",8.1,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4013,2010-02-02T16:30Z,2024-11-21T01:08Z,"Multiple directory traversal vulnerabilities in Lintian 1.23.x through 1.23.28, 1.24.x through 1.24.2.1, and 2.x before 2.3.2 allow remote attackers to overwrite arbitrary files or obtain sensitive information via vectors involving (1) control field names, (2) control field values, and (3) control files of patch systems.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4053,2009-11-23T17:30Z,2024-11-21T01:08Z,Multiple directory traversal vulnerabilities in Home FTP Server 1.10.1.139 allow remote authenticated users to (1) create arbitrary directories via directory traversal sequences in an MKD command or (2) create files with any contents in arbitrary directories via directory traversal sequences in a file upload request.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-4067,2020-02-11T19:15Z,2024-11-21T01:08Z,"Buffer overflow in the auerswald_probe function in the Auerswald Linux USB driver for the Linux kernel before 2.6.27 allows physically proximate attackers to execute arbitrary code, cause a denial of service via a crafted USB device, or take full control of the system.",6.8,PHYSICAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4123,2023-12-12T16:15Z,2024-11-21T01:08Z,The jruby-openssl gem before 0.6 for JRuby mishandles SSL certificate validation.,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-4194,2009-12-03T19:30Z,2024-11-21T01:09Z,"Directory traversal vulnerability in Golden FTP Server 4.30 Free and Professional, 4.50, and possibly other versions allows remote authenticated users to delete arbitrary files via a .. (dot dot) in the DELE command.  NOTE: some of these details are obtained from third party information.",8.1,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,HIGH
CVE-2009-4267,2018-02-19T16:29Z,2024-11-21T01:09Z,"The console in Apache jUDDI 3.0.0 does not properly escape line feeds, which allows remote authenticated users to spoof log entries via the numRows parameter.",6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-4272,2010-01-27T17:30Z,2024-11-21T01:09Z,"A certain Red Hat patch for net/ipv4/route.c in the Linux kernel 2.6.18 on Red Hat Enterprise Linux (RHEL) 5 allows remote attackers to cause a denial of service (deadlock) via crafted packets that force collisions in the IPv4 routing hash table, and trigger a routing ""emergency"" in which a hash chain is too long.  NOTE: this is related to an issue in the Linux kernel before 2.6.31, when the kernel routing cache is disabled, involving an uninitialized pointer and a panic.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-4324,2009-12-15T02:30Z,2024-12-19T18:07Z,"Use-after-free vulnerability in the Doc.media.newPlayer method in Multimedia.api in Adobe Reader and Acrobat 9.x before 9.3, and 8.x before 8.2 on Windows and Mac OS X, allows remote attackers to execute arbitrary code via a crafted PDF file using ZLib compressed streams, as exploited in the wild in December 2009.",7.8,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4449,2009-12-29T20:41Z,2024-11-21T01:09Z,"Directory traversal vulnerability in MyBB (aka MyBulletinBoard) 1.4.10, and possibly earlier versions, when changing the user avatar from the gallery, allows remote authenticated users to determine the existence of files via directory traversal sequences in the avatar and possibly the gallery parameters, related to (1) admin/modules/user/users.php and (2) usercp.php.",6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-4581,2010-01-06T22:00Z,2024-11-21T01:09Z,"Directory traversal vulnerability in modules/admincp.php in RoseOnlineCMS 3 B1 and earlier, when magic_quotes_gpc is disabled, allows remote attackers to include and execute arbitrary local files via directory traversal sequences in the admin parameter.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4895,2010-09-08T20:00Z,2024-11-21T01:10Z,"Race condition in the tty_fasync function in drivers/char/tty_io.c in the Linux kernel before 2.6.32.6 allows local users to cause a denial of service (NULL pointer dereference and system crash) or possibly have unspecified other impact via unknown vectors, related to the put_tty_queue and __f_setown functions.  NOTE: the vulnerability was addressed in a different way in 2.6.32.9.",4.7,LOCAL,HIGH,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-4899,2019-10-28T15:15Z,2024-11-21T01:10Z,pixelpost 1.7.1 has SQL injection,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-4900,2019-10-28T15:15Z,2024-11-21T01:10Z,pixelpost 1.7.1 has XSS,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5004,2019-11-09T04:15Z,2024-11-21T01:10Z,qpid-cpp 1.0 crashes when a large message is sent and the Digest-MD5 mechanism with a security layer is in use .,6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-5025,2020-01-15T21:15Z,2024-11-21T01:11Z,A backdoor (aka BMSA-2009-07) was found in PyForum v1.0.3 where an attacker who knows a valid user email could force a password reset on behalf of that user.,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-5041,2019-10-31T16:15Z,2024-11-21T01:11Z,overkill has buffer overflow via long player names that can corrupt data on the server machine,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5042,2019-10-31T16:15Z,2024-11-21T01:11Z,python-docutils allows insecure usage of temporary files,9.1,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,NONE
CVE-2009-5043,2019-10-31T16:15Z,2024-11-21T01:11Z,burn allows file names to escape via mishandled quotation marks,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5045,2019-11-06T20:15Z,2024-11-21T01:11Z,Dump Servlet information leak in jetty before 6.1.22.,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE
CVE-2009-5046,2019-11-06T20:15Z,2024-11-21T01:11Z,JSP Dump and Session Dump Servlet XSS in jetty before 6.1.22.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5048,2019-11-06T19:15Z,2024-11-21T01:11Z,Cookie Dump Servlet stored XSS vulnerability in jetty though 6.1.20.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5049,2019-11-06T19:15Z,2024-11-21T01:11Z,WebApp JSP Snoop page XSS in jetty though 6.1.21.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5050,2019-11-06T19:15Z,2024-11-21T01:11Z,konversation before 1.2.3 allows attackers to cause a denial of service.,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-5068,2020-01-15T21:15Z,2024-11-21T01:11Z,"There is a file disclosure vulnerability in SMF (Simple Machines Forum) affecting versions through v2.0.3. On some configurations a SMF deployment is shared by several ""co-admins"" that are not trusted beyond the SMF deployment. This vulnerability allows them to read arbitrary files on the filesystem and therefore gain new privileges by reading the settings.php with the database passwords.",7.2,NETWORK,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5078,2011-06-30T15:55Z,2024-11-21T01:11Z,"contrib/pdfmark/pdfroff.sh in GNU troff (aka groff) before 1.21 launches the Ghostscript program without the -dSAFER option, which allows remote attackers to create, overwrite, rename, or delete arbitrary files via a crafted document.",6.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,LOW
CVE-2009-5139,2020-02-12T14:15Z,2024-11-21T01:11Z,"The SIP implementation on the Gizmo5 software phone provides hashed credentials in a response to an invalid authentication challenge, which makes it easier for remote attackers to obtain access via a brute-force attack, related to a ""SIP Digest Leak"" issue.",7.5,NETWORK,HIGH,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5140,2020-02-12T14:15Z,2024-11-21T01:11Z,"The SIP implementation on the Linksys SPA2102 phone adapter provides hashed credentials in a response to an invalid authentication challenge, which makes it easier for remote attackers to obtain access via a brute-force attack, related to a ""SIP Digest Leak"" issue.",8.8,NETWORK,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5144,2018-02-03T15:29Z,2024-11-21T01:11Z,"mod-gnutls does not validate client certificates when ""GnuTLSClientVerify require"" is set in a directory context, which allows remote attackers to spoof clients via a crafted certificate.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-5145,2017-08-07T17:29Z,2024-11-21T01:11Z,"Cross-site scripting (XSS) vulnerability in ZMI pages that use the manage_tabs_message in Zope 2.11.4, 2.11.2, 2.10.9, 2.10.7, 2.10.6, 2.10.5, 2.10.4, 2.10.2, 2.10.1, 2.12.",6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5147,2017-03-29T14:59Z,2024-11-21T01:11Z,"DL::dlopen in Ruby 1.8, 1.9.0, 1.9.2, 1.9.3, 2.0.0 before patchlevel 648, and 2.1 before 2.1.8 opens libraries with tainted names.",7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW
CVE-2009-5150,2018-05-11T19:29Z,2024-11-21T01:11Z,"Absolute Computrace Agent V80.845 and V80.866 does not have a digital signature for the configuration block, which allows attackers to set up communication with a web site other than the intended search.namequery.com site by modifying data within a disk's inter-partition space. This allows a privileged local user to execute arbitrary code even after that user loses access and all disk partitions are reformatted.",6.7,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5151,2018-05-11T19:29Z,2024-11-21T01:11Z,"The stub component of Absolute Computrace Agent V70.785 executes code from a disk's inter-partition space without requiring a digital signature for that code, which allows attackers to execute code on the BIOS. This allows a privileged local user to achieve persistent control of BIOS behavior, independent of later disk changes.",6.7,LOCAL,LOW,HIGH,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5152,2018-05-11T19:29Z,2024-11-21T01:11Z,"Absolute Computrace Agent, as distributed on certain Dell Inspiron systems through 2009, has a race condition with the Dell Client Configuration Utility (DCCU), which allows privileged local users to change Computrace Agent's activation/deactivation status to the factory default via a crafted TaskResult.xml file.",4.1,LOCAL,HIGH,HIGH,NONE,UNCHANGED,NONE,HIGH,NONE
CVE-2009-5153,2018-11-21T15:29Z,2024-11-21T01:11Z,"In Novell NetWare before 6.5 SP8, a stack buffer overflow in processing of CALLIT RPC calls in the NFS Portmapper daemon in PKERNEL.NLM allowed remote unauthenticated attackers to execute code, because a length field was incorrectly trusted.",9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5154,2019-02-09T22:29Z,2024-11-21T01:11Z,An issue was discovered on MOBOTIX S14 MX-V4.2.1.61 devices. There is a default password of meinsm for the admin account.,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5155,2019-02-26T02:29Z,2024-11-21T01:11Z,"In the GNU C Library (aka glibc or libc6) before 2.28, parse_reg_exp in posix/regcomp.c misparses alternatives, which allows attackers to cause a denial of service (assertion failure and application exit) or trigger an incorrect result by attempting a regular-expression match.",7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH
CVE-2009-5156,2019-06-11T21:29Z,2024-11-21T01:11Z,An issue was discovered on ASMAX AR-804gu 66.34.1 devices. There is Command Injection via the cgi-bin/script query string.,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5157,2019-06-11T21:29Z,2024-11-21T01:11Z,"On Linksys WAG54G2 1.00.10 devices, there is authenticated command injection via shell metacharacters in the setup.cgi c4_ping_ipaddr variable.",8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH
CVE-2009-5158,2019-08-22T13:15Z,2024-11-21T01:11Z,The google-analyticator plugin before 5.2.1 for WordPress has insufficient HTML sanitization for Google Analytics API text.,6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
CVE-2009-5159,2020-03-13T15:15Z,2024-11-21T01:11Z,"Invision Power Board (aka IPB or IP.Board) 2.x through 3.0.4, when Internet Explorer 5 is used, allows XSS via a .txt attachment.",6.1,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE
